video_id,channel_Id,playlist_id,channelTitle,title,tags,duration,dimension,definition,projection,viewCount,likeCount,commentCount,publishdate,publishtime
0YP5n-SYs9Y,UCA_23dkEYToAc37hjSsCnXA,UUA_23dkEYToAc37hjSsCnXA,MixiGaming,"(Restream) Ông bố 3 con trở lại sau chuỗi ngày đưa vợ đi đẻ, khoe cô công chúa đáng yêu nhất quả đất","['Mixigaming', 'Mixi', 'Độ Tày', 'Streamer Mixigaming', 'Mixigaming Funny Stream', 'mixivlog', 'do mixi', 'mixigaming talkshow', 'mixigaming', 'mixigaming funny stream', 'streamer mixigaming', 'mixigaming liveshow', 'mixi', 'độ tày', 'độ mixi', 'độ mixi stream', 'restream', 'restream hôm qua', 'restream mixigaming', 'restream mixi', 'độ mixi và pewpew', 'restream độ mixi', 'độ mixi chơi tiktok', 'mixigaming restream', 'cốc mixi', 'độ mixi restream', 'mixigaming kênh chat fa', 'pokemon pack', 'mở pack pokemon', 'mở thẻ pokemon']",01:07:17,2d,hd,rectangular,477057,15853,69.0,2024-10-18,16:35:53
kPrg58ajCTg,UCA_23dkEYToAc37hjSsCnXA,UUA_23dkEYToAc37hjSsCnXA,MixiGaming,Mixi Funny Moment #23: Tổng hợp những tình huống vui vui trên stream của Độ Mixi.,"['Mixigaming', 'Mixi', 'Độ Tày', 'Streamer Mixigaming', 'Funny', 'Mixigaming Funny Stream', 'Funny Stream', 'Streamer Việt Nam', 'Stream Việt Nam', 'Stream Việt', 'PUBG', ""Player Unknown's Battle Ground VN"", 'PUBG VN', 'CSGO', 'CSGO VN', 'Vịt Ngỗng Mixigaming', 'Mixigaming Goose Goose Duck', 'mixigaming', 'simulator game', 'độ mixi simulator game', 'mixigaming simulator', 'refund gaming', 'game kinh dị', 'refund game kinh dị', 'devour', 'devour độ mixi', 'devour refund gaming', 'devour game', 'devour horror game']",00:12:24,2d,hd,rectangular,443612,8771,205.0,2024-10-13,12:00:49
eqxpU2viszY,UCA_23dkEYToAc37hjSsCnXA,UUA_23dkEYToAc37hjSsCnXA,MixiGaming,(Restream) Trở lại với stream siêu mượt mà cùng những người em donate buff views trong tưởng tượng.,"['Mixigaming', 'Mixi', 'Độ Tày', 'Streamer Mixigaming', 'Mixigaming Funny Stream', 'mixivlog', 'do mixi', 'mixigaming talkshow', 'mixigaming', 'mixigaming funny stream', 'streamer mixigaming', 'mixigaming liveshow', 'mixi', 'độ tày', 'độ mixi', 'độ mixi stream', 'restream', 'restream hôm qua', 'restream mixigaming', 'restream mixi', 'độ mixi và pewpew', 'restream độ mixi', 'độ mixi chơi tiktok', 'mixigaming restream', 'cốc mixi', 'độ mixi restream', 'mixigaming kênh chat fa', 'pokemon pack', 'mở pack pokemon', 'mở thẻ pokemon']",01:31:20,2d,hd,rectangular,816976,15471,110.0,2024-10-10,16:59:56
SVuI2WYJCdw,UCA_23dkEYToAc37hjSsCnXA,UUA_23dkEYToAc37hjSsCnXA,MixiGaming,"(GTA V MixiCity 2024 #6) Anh em đập thủ mọi miền tụ họp, đoàn kết 1 lòng trước khi sóng thần ập đến.","['Mixigaming', 'Mixi', 'Độ Tày', 'Streamer Mixigaming', 'Funny', 'Mixigaming Funny Stream', 'Funny Stream', 'Streamer Việt Nam', 'Stream Việt Nam', 'Stream Việt', 'PUBG', ""Player Unknown's Battle Ground VN"", 'PUBG VN', 'CSGO', 'CSGO VN', 'Vịt Ngỗng Mixigaming', 'Mixigaming Goose Goose Duck', 'mixigaming', 'simulator game', 'độ mixi simulator game', 'mixigaming simulator', 'refund gaming', 'game kinh dị', 'refund game kinh dị', 'devour', 'devour độ mixi', 'devour refund gaming', 'devour game', 'devour horror game']",03:26:28,2d,hd,rectangular,1238055,13896,439.0,2024-10-08,13:00:37
qA_ZFKcqK6U,UCA_23dkEYToAc37hjSsCnXA,UUA_23dkEYToAc37hjSsCnXA,MixiGaming,"(Liar's Bar #2) Thần bịp Đôi Văn Môi đến từ Cao Bằng hô biến cu em Văn Mẽ thành ""Chó xem tát ao"".","['Mixigaming', 'Mixi', 'Độ Tày', 'Streamer Mixigaming', 'Funny', 'Mixigaming Funny Stream', 'Funny Stream', 'Streamer Việt Nam', 'Stream Việt Nam', 'Stream Việt', 'PUBG', ""Player Unknown's Battle Ground VN"", 'PUBG VN', 'CSGO', 'CSGO VN', 'Vịt Ngỗng Mixigaming', 'Mixigaming Goose Goose Duck', 'mixigaming', 'simulator game', 'độ mixi simulator game', 'mixigaming simulator', 'refund gaming', 'game kinh dị', 'refund game kinh dị', 'devour', 'devour độ mixi', 'devour refund gaming', 'devour game', 'devour horror game']",01:03:48,2d,hd,rectangular,744602,10670,269.0,2024-10-08,05:00:28
PTajPCTKpho,UCA_23dkEYToAc37hjSsCnXA,UUA_23dkEYToAc37hjSsCnXA,MixiGaming,tôi combat với nhà mạng nhưng bị thua.,"['Mixigaming', 'Mixi', 'Độ Tày', 'Streamer Mixigaming', 'Mixigaming Funny Stream', 'mixivlog', 'do mixi', 'mixigaming talkshow', 'mixigaming', 'mixigaming funny stream', 'streamer mixigaming', 'mixigaming liveshow', 'mixi', 'độ tày', 'độ mixi', 'độ mixi stream', 'restream', 'restream hôm qua', 'restream mixigaming', 'restream mixi', 'độ mixi và pewpew', 'restream độ mixi', 'độ mixi chơi tiktok', 'mixigaming restream', 'cốc mixi', 'độ mixi restream', 'mixigaming kênh chat fa', 'pokemon pack', 'mở pack pokemon', 'mở thẻ pokemon']",00:22:35,2d,hd,rectangular,495664,11540,228.0,2024-10-07,15:57:47
1JO240qiz1o,UCA_23dkEYToAc37hjSsCnXA,UUA_23dkEYToAc37hjSsCnXA,MixiGaming,"(GTA V MixiCity 2024 #5) Bộ tứ phông bạt thử đi lặn, vét hết tài sản cho cu em tóc hồng đổi đời balo","['Mixigaming', 'Mixi', 'Độ Tày', 'Streamer Mixigaming', 'Funny', 'Mixigaming Funny Stream', 'Funny Stream', 'Streamer Việt Nam', 'Stream Việt Nam', 'Stream Việt', 'PUBG', ""Player Unknown's Battle Ground VN"", 'PUBG VN', 'CSGO', 'CSGO VN', 'Vịt Ngỗng Mixigaming', 'Mixigaming Goose Goose Duck', 'mixigaming', 'simulator game', 'độ mixi simulator game', 'mixigaming simulator', 'refund gaming', 'game kinh dị', 'refund game kinh dị', 'devour', 'devour độ mixi', 'devour refund gaming', 'devour game', 'devour horror game']",03:30:15,2d,hd,rectangular,1089319,14297,400.0,2024-10-07,12:05:00
DpmA6AHB2fM,UCA_23dkEYToAc37hjSsCnXA,UUA_23dkEYToAc37hjSsCnXA,MixiGaming,(Liar's Bar #1) Cuộc chiến cân não giữa anh Môi và đàn em báo thủ cùng bài học thấm thía về lòng tin,"['Mixigaming', 'Mixi', 'Độ Tày', 'Streamer Mixigaming', 'Funny', 'Mixigaming Funny Stream', 'Funny Stream', 'Streamer Việt Nam', 'Stream Việt Nam', 'Stream Việt', 'PUBG', ""Player Unknown's Battle Ground VN"", 'PUBG VN', 'CSGO', 'CSGO VN', 'Vịt Ngỗng Mixigaming', 'Mixigaming Goose Goose Duck', 'mixigaming', 'simulator game', 'độ mixi simulator game', 'mixigaming simulator', 'refund gaming', 'game kinh dị', 'refund game kinh dị', 'devour', 'devour độ mixi', 'devour refund gaming', 'devour game', 'devour horror game']",01:15:34,2d,hd,rectangular,812380,13337,285.0,2024-10-07,05:00:17
ZJ8vSMbZoXY,UCA_23dkEYToAc37hjSsCnXA,UUA_23dkEYToAc37hjSsCnXA,MixiGaming,(GTA V MixiCity 2024 #4) Anh Môi thử thách đập balo +4 và pha chạy đua với thời gian siêu kịch tính.,"['Mixigaming', 'Mixi', 'Độ Tày', 'Streamer Mixigaming', 'Funny', 'Mixigaming Funny Stream', 'Funny Stream', 'Streamer Việt Nam', 'Stream Việt Nam', 'Stream Việt', 'PUBG', ""Player Unknown's Battle Ground VN"", 'PUBG VN', 'CSGO', 'CSGO VN', 'Vịt Ngỗng Mixigaming', 'Mixigaming Goose Goose Duck', 'mixigaming', 'simulator game', 'độ mixi simulator game', 'mixigaming simulator', 'refund gaming', 'game kinh dị', 'refund game kinh dị', 'devour', 'devour độ mixi', 'devour refund gaming', 'devour game', 'devour horror game']",01:45:14,2d,hd,rectangular,889553,13533,400.0,2024-10-06,12:00:40
TGH3XlXNFew,UCA_23dkEYToAc37hjSsCnXA,UUA_23dkEYToAc37hjSsCnXA,MixiGaming,(Restream) Ao làng PUBG duo nghẹt thở đến giây cuối cùng với sự tỏa sáng của bộ đôi Himass x LeKhoi.,"['Mixigaming', 'Mixi', 'Độ Tày', 'Streamer Mixigaming', 'Mixigaming Funny Stream', 'mixivlog', 'do mixi', 'mixigaming talkshow', 'mixigaming', 'mixigaming funny stream', 'streamer mixigaming', 'mixigaming liveshow', 'mixi', 'độ tày', 'độ mixi', 'độ mixi stream', 'restream', 'restream hôm qua', 'restream mixigaming', 'restream mixi', 'độ mixi và pewpew', 'restream độ mixi', 'độ mixi chơi tiktok', 'mixigaming restream', 'cốc mixi', 'độ mixi restream', 'mixigaming kênh chat fa', 'pokemon pack', 'mở pack pokemon', 'mở thẻ pokemon']",01:39:46,2d,hd,rectangular,977528,17188,127.0,2024-10-05,17:14:18
DKEqKTvUAHs,UCA_23dkEYToAc37hjSsCnXA,UUA_23dkEYToAc37hjSsCnXA,MixiGaming,"(Restream) Chấn thương vào ngày trở lại sân bóng và hội thi điền lời vào chỗ trống ""The Moi Manga"".","['Mixigaming', 'Mixi', 'Độ Tày', 'Streamer Mixigaming', 'Mixigaming Funny Stream', 'mixivlog', 'do mixi', 'mixigaming talkshow', 'mixigaming', 'mixigaming funny stream', 'streamer mixigaming', 'mixigaming liveshow', 'mixi', 'độ tày', 'độ mixi', 'độ mixi stream', 'restream', 'restream hôm qua', 'restream mixigaming', 'restream mixi', 'độ mixi và pewpew', 'restream độ mixi', 'độ mixi chơi tiktok', 'mixigaming restream', 'cốc mixi', 'độ mixi restream', 'mixigaming kênh chat fa', 'pokemon pack', 'mở pack pokemon', 'mở thẻ pokemon']",01:53:18,2d,hd,rectangular,708705,12778,70.0,2024-10-04,17:22:46
kjli4FOxAB4,UCA_23dkEYToAc37hjSsCnXA,UUA_23dkEYToAc37hjSsCnXA,MixiGaming,(GTA V MixiCity 2024 #3) Chúa phông bạt Đôi Văn Môi cầm đầu đường dây xin xỏ quần áo khắp Mixi City.,"['Mixigaming', 'Mixi', 'Độ Tày', 'Streamer Mixigaming', 'Funny', 'Mixigaming Funny Stream', 'Funny Stream', 'Streamer Việt Nam', 'Stream Việt Nam', 'Stream Việt', 'PUBG', ""Player Unknown's Battle Ground VN"", 'PUBG VN', 'CSGO', 'CSGO VN', 'Vịt Ngỗng Mixigaming', 'Mixigaming Goose Goose Duck', 'mixigaming', 'simulator game', 'độ mixi simulator game', 'mixigaming simulator', 'refund gaming', 'game kinh dị', 'refund game kinh dị', 'devour', 'devour độ mixi', 'devour refund gaming', 'devour game', 'devour horror game']",03:47:16,2d,hd,rectangular,1341508,16558,447.0,2024-10-04,13:00:57
vq5SiRgNRIM,UCA_23dkEYToAc37hjSsCnXA,UUA_23dkEYToAc37hjSsCnXA,MixiGaming,(GTA V MixiCity 2024 #2) Anh Môi lập nghiệp gặp ngay hai cu em báo thủ và lần đầu ra khơi nghiệt ngã,"['Mixigaming', 'Mixi', 'Độ Tày', 'Streamer Mixigaming', 'Funny', 'Mixigaming Funny Stream', 'Funny Stream', 'Streamer Việt Nam', 'Stream Việt Nam', 'Stream Việt', 'PUBG', ""Player Unknown's Battle Ground VN"", 'PUBG VN', 'CSGO', 'CSGO VN', 'Vịt Ngỗng Mixigaming', 'Mixigaming Goose Goose Duck', 'mixigaming', 'simulator game', 'độ mixi simulator game', 'mixigaming simulator', 'refund gaming', 'game kinh dị', 'refund game kinh dị', 'devour', 'devour độ mixi', 'devour refund gaming', 'devour game', 'devour horror game']",03:35:11,2d,hd,rectangular,1550886,20194,565.0,2024-10-03,12:01:08
WyhoZAWlnUg,UCA_23dkEYToAc37hjSsCnXA,UUA_23dkEYToAc37hjSsCnXA,MixiGaming,"(Restream) Lượn lờ group Bộ tộc Mixigaming, kế hoạch đổi tên hội flex và bóc vội hộp thẻ Op-07.","['Mixigaming', 'Mixi', 'Độ Tày', 'Streamer Mixigaming', 'Mixigaming Funny Stream', 'mixivlog', 'do mixi', 'mixigaming talkshow', 'mixigaming', 'mixigaming funny stream', 'streamer mixigaming', 'mixigaming liveshow', 'mixi', 'độ tày', 'độ mixi', 'độ mixi stream', 'restream', 'restream hôm qua', 'restream mixigaming', 'restream mixi', 'độ mixi và pewpew', 'restream độ mixi', 'độ mixi chơi tiktok', 'mixigaming restream', 'cốc mixi', 'độ mixi restream', 'mixigaming kênh chat fa', 'pokemon pack', 'mở pack pokemon', 'mở thẻ pokemon']",01:40:02,2d,hd,rectangular,668184,12287,79.0,2024-10-02,17:10:11
jwe_62MAsxo,UCA_23dkEYToAc37hjSsCnXA,UUA_23dkEYToAc37hjSsCnXA,MixiGaming,"(GTA V MixiCity 2024 #1) Ngày đầu nhập cư trái phép và cuộc hội ngộ của ba chàng ngốc Môi, Lôi, Mẽ.","['Mixigaming', 'Mixi', 'Độ Tày', 'Streamer Mixigaming', 'Funny', 'Mixigaming Funny Stream', 'Funny Stream', 'Streamer Việt Nam', 'Stream Việt Nam', 'Stream Việt', 'PUBG', ""Player Unknown's Battle Ground VN"", 'PUBG VN', 'CSGO', 'CSGO VN', 'Vịt Ngỗng Mixigaming', 'Mixigaming Goose Goose Duck', 'mixigaming', 'simulator game', 'độ mixi simulator game', 'mixigaming simulator', 'refund gaming', 'game kinh dị', 'refund game kinh dị', 'devour', 'devour độ mixi', 'devour refund gaming', 'devour game', 'devour horror game']",02:44:19,2d,hd,rectangular,1674448,29497,1256.0,2024-10-02,11:30:34
vNd008xiyQU,UCA_23dkEYToAc37hjSsCnXA,UUA_23dkEYToAc37hjSsCnXA,MixiGaming,(Restream) Nhận tri ân khách VIP từ shop card QNTCG và màn mở thẻ cùng ba em nhân viên ngoan ngoãn.,"['Mixigaming', 'Mixi', 'Độ Tày', 'Streamer Mixigaming', 'Mixigaming Funny Stream', 'mixivlog', 'do mixi', 'mixigaming talkshow', 'mixigaming', 'mixigaming funny stream', 'streamer mixigaming', 'mixigaming liveshow', 'mixi', 'độ tày', 'độ mixi', 'độ mixi stream', 'restream', 'restream hôm qua', 'restream mixigaming', 'restream mixi', 'độ mixi và pewpew', 'restream độ mixi', 'độ mixi chơi tiktok', 'mixigaming restream', 'cốc mixi', 'độ mixi restream', 'mixigaming kênh chat fa', 'pokemon pack', 'mở pack pokemon', 'mở thẻ pokemon']",01:42:41,2d,hd,rectangular,835040,15421,105.0,2024-10-01,17:14:06
CVHEOt0umS0,UCA_23dkEYToAc37hjSsCnXA,UUA_23dkEYToAc37hjSsCnXA,MixiGaming,"(Restream) Đến hẹn lại lên, The Moi Song 2 nhận đơn đăng kí và pha ""sập bẩy"" trước thùng thẻ OP-05.","['Mixigaming', 'Mixi', 'Độ Tày', 'Streamer Mixigaming', 'Mixigaming Funny Stream', 'mixivlog', 'do mixi', 'mixigaming talkshow', 'mixigaming', 'mixigaming funny stream', 'streamer mixigaming', 'mixigaming liveshow', 'mixi', 'độ tày', 'độ mixi', 'độ mixi stream', 'restream', 'restream hôm qua', 'restream mixigaming', 'restream mixi', 'độ mixi và pewpew', 'restream độ mixi', 'độ mixi chơi tiktok', 'mixigaming restream', 'cốc mixi', 'độ mixi restream', 'mixigaming kênh chat fa', 'pokemon pack', 'mở pack pokemon', 'mở thẻ pokemon']",01:41:05,2d,hd,rectangular,734920,14693,68.0,2024-09-30,17:14:17
